BJD - 2454833, Corrected Flux
2239.649612191, 1.014144912,
2239.670044313, 1.016185207,
2239.690476335, 0.985381431,
2239.710908256, 1.029624075,
2239.731340376, 1.004898327,
2239.751772396, 1.009747072,
2239.772204316, 0.990547465,
2239.792636435, 1.009155924,
2239.813068453, 0.987156711,
2239.833500372, 0.994689678,
2239.853932489, 0.987859299,
2239.874364506, 1.017378303,
2239.894796423, 1.001910526,
2239.915228539, 1.005723930,
2239.935660555, 1.017306696,
2239.956092471, 1.022442864,
2239.976524586, 1.001981250,
2240.017388614, 0.992554222,
2240.037820627, 0.999861184,
2240.058252640, 1.022556205,
2240.078684653, 1.036156999,
2240.099116665, 0.995172748,
2240.119548677, 1.000026001,
2240.139980688, 1.003806009,
2240.160412699, 1.005549212,
2240.180844709, 1.023230416,
2240.201276819, 1.005150301,
2240.221708728, 1.006359891,
2240.242140737, 0.994870574,
2240.262572846, 1.001185610,
2240.283004753, 1.000972883,
2240.303436761, 1.002198889,
2240.323868868, 1.014234564,
2240.344300775, 1.014069912,
2240.364732781, 0.975465124,
2240.405596792, 1.017126249,
2240.426028797, 1.015144451,
2240.446460901, 1.022572435,
2240.466892805, 1.001925069,
2240.487324808, 0.995416601,
2240.548620816, 0.999544213,
2240.569052917, 0.999894432,
2240.589484918, 1.022776026,
2240.609916819, 1.034859073,
2240.630348919, 1.003841066,
2240.650780919, 0.997661290,
2240.671212818, 1.015482113,
2240.691644917, 1.040361974,
2240.712076915, 0.999128773,
2240.732508913, 1.005423016,
2240.752940910, 1.008976223,
2240.773372908, 0.997642398,
2240.793804904, 1.004081315,
2240.814236900, 0.994386323,
2240.834668896, 1.003928795,
2240.855100891, 1.005045351,
2240.875532886, 1.021687508,
2240.895964880, 1.000677090,
2240.916396874, 1.009599568,
2240.936828868, 0.990954059,
2240.957260860, 1.007724098,
2240.977692853, 0.998049832,
2240.998124845, 1.001078766,
2241.018556836, 1.005898733,
2241.100284898, 1.016633120,
2241.120716787, 0.980709993,
2241.141148776, 0.985934029,
2241.161580864, 1.000065406,
2241.182012752, 0.983906191,
2241.202444740, 0.993335977,
2241.222876827, 1.024298731,
2241.243308714, 1.002555323,
2241.263740700, 1.011065938,
2241.284172786, 1.021859301,
2241.304604671, 1.027020531,
2241.325036655, 0.995334640,
2241.345468740, 1.018443447,
2241.365900724, 1.008578913,
2241.386332607, 1.020564802,
2241.406764690, 1.006834640,
2241.427196673, 1.003360310,
2241.447628655, 1.011420488,
2241.468060637, 0.988150411,
2241.488492518, 1.005473330,
2241.508924599, 1.033527053,
2241.529356579, 1.000752968,
2241.549788559, 1.023214215,
2241.570220538, 1.014256857,
2241.590652517, 0.996479501,
2241.611084396, 1.009259095,
2241.631516474, 1.012704402,
2241.651948452, 0.994148074,
2241.672380329, 0.995202174,
2241.692812405, 1.014165980,
2241.713244382, 1.005705239,
2241.733676358, 1.014235958,
2241.754108333, 1.016844255,
2241.774540308, 0.999638394,
2241.794972283, 0.983980808,
2241.815404257, 0.983215370,
2241.835836230, 1.015364794,
2241.856268204, 1.025898973,
2241.876700276, 1.017835997,
2241.897132149, 0.992186168,
2241.917564121, 1.013651528,
2241.937996192, 1.002321208,
2241.958428063, 1.006099042,
2241.978860034, 1.097685614,
2241.999292104, 1.037056141,
2242.019723974, 1.000720650,
2242.040155943, 1.019634097,
2242.060588012, 0.989871400,
2242.081019880, 1.002888373,
2242.101451848, 1.009497304,
2242.121883915, 1.013922508,
2242.142315782, 1.013927555,
2242.162747849, 1.003020263,
2242.183179815, 0.993892729,
2242.203611781, 1.028938718,
2242.224043746, 1.000691033,
2242.244475711, 0.989799526,
2242.264907675, 1.004507239,
2242.285339639, 1.017236942,
2242.305771603, 1.052342130,
2242.326203466, 0.993608480,
2242.346635529, 1.006773342,
2242.367067491, 1.034773876,
2242.387499352, 1.005700675,
2242.407931414, 1.022940829,
2242.428363374, 0.999413382,
2242.448795235, 1.025600788,
2242.489659255, 1.011369702,
